City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,fare,0,PF,1538263224,100,-16.7,-151.02,77.5,6.4
1,khash,0,IR,1538263224,34,28.22,61.21,42.67,2.59
2,albany,20,US,1538261460,53,42.65,-73.75,60.98,4.7
3,qaanaaq,68,GL,1538262629,100,77.48,-69.36,16.75,4.38
4,rikitea,24,PF,1538262603,100,-23.12,-134.97,73.09,12.21
5,vaini,20,IN,1538262615,94,15.34,74.49,68.32,2.37
6,busselton,0,AU,1538262634,100,-33.64,115.35,56.8,17.58
7,castro,56,CL,1538262636,96,-42.48,-73.76,37.81,8.08
8,kaitangata,44,NZ,1538262660,96,-46.28,169.85,51.04,4.16
9,payo,8,ID,1538263226,66,-3.75,103.64,77.86,7.18
10,shingu,75,JP,1538260800,83,33.72,135.99,78.8,11.41
11,chokurdakh,92,RU,1538262530,96,70.62,147.9,32.86,16.46
12,preobrazheniye,8,RU,1538263227,69,42.9,133.91,56.98,1.92
13,arraial do cabo,75,BR,1538258400,88,-22.97,-42.02,73.4,6.93
14,punta arenas,75,CL,1538258400,86,-53.16,-70.91,37.4,4.7
15,ancud,12,CL,1538262708,79,-41.87,-73.83,39.52,8.41
16,grindavik,75,IS,1538260200,74,63.84,-22.43,37.4,16.11
17,mataura,68,NZ,1538262603,100,-46.19,168.86,50.68,4.38
18,atuona,92,PF,1538262448,100,-9.8,-139.03,78.04,9.75
19,jamestown,20,AU,1538262651,36,-33.21,138.6,57.25,14.12
20,sal rei,40,CV,1538262000,74,16.18,-22.92,78.8,9.17
21,hobart,20,AU,1538260200,47,-42.88,147.33,57.2,17.22
22,cidreira,0,BR,1538262887,78,-30.17,-50.22,72.82,14.67
23,boleslawiec,0,PL,1538263230,83,51.26,15.57,31.24,2.93
24,lebu,40,ET,1538258400,66,8.96,38.73,53.6,2.24
25,georgetown,20,GY,1538258400,78,6.8,-58.16,82.4,9.17
26,siguiri,64,GN,1538263230,99,11.42,-9.17,69.58,3.94
27,hermanus,8,ZA,1538262422,78,-34.42,19.24,44.2,2.71
28,tabou,76,CI,1538263231,100,4.42,-7.36,78.04,12.44
29,taltal,0,CL,1538263231,88,-25.41,-70.49,57.88,1.92
30,barrow,0,AR,1538262614,90,-38.31,-60.23,50.77,9.08
31,laguna,40,MX,1538260920,55,27.52,-110.01,87.8,12.75
32,new norfolk,20,AU,1538260200,47,-42.78,147.06,57.2,17.22
33,saldanha,44,PT,1538262660,76,41.42,-6.55,59.05,3.15
34,launceston,0,AU,1538260200,76,-41.43,147.14,48.2,11.41
35,viedma,0,AR,1538262732,56,-40.81,-62.99,57.79,16.02
36,norman wells,20,CA,1538258400,55,65.28,-126.83,39.2,13.87
37,labuhan,0,ID,1538263234,79,-2.54,115.51,79.12,2.37
38,ilinskiy,0,RU,1538260200,86,55.62,38.12,33.8,6.71
39,rawson,80,AR,1538262500,27,-43.3,-65.11,62.11,18.81
40,saint-augustin,0,FR,1538262000,67,44.83,-0.61,59.0,4.7
41,itarema,8,BR,1538262995,82,-2.92,-39.92,78.04,15.01
42,cherskiy,68,RU,1538262665,88,68.75,161.3,38.89,4.05
43,mahebourg,40,MU,1538258400,83,-20.41,57.7,69.8,12.75
44,comodoro rivadavia,40,AR,1538258400,61,-45.87,-67.48,48.2,18.34
45,ushuaia,90,AR,1538258400,80,-54.81,-68.31,33.8,23.04
46,itaituba,0,BR,1538263236,65,-4.26,-55.99,84.52,4.16
47,russkaya polyana,0,RU,1538263236,57,53.78,73.88,49.42,10.98
48,vila velha,40,BR,1538258400,78,-3.71,-38.6,80.6,9.17
49,majenang,56,ID,1538263236,92,-7.3,108.76,71.2,3.38
50,namibe,32,AO,1538262666,98,-15.19,12.15,69.13,1.48
51,leningradskiy,48,RU,1538262703,82,69.38,178.42,44.92,20.6
52,kavaratti,36,IN,1538262898,100,10.57,72.64,80.74,6.4
53,cabo san lucas,75,MX,1538257380,74,22.89,-109.91,86.0,9.17
54,christchurch,68,NZ,1538262000,87,-43.53,172.64,50.0,3.36
55,palmerston,90,CA,1538262000,57,43.83,-80.85,51.8,8.05
56,mar del plata,48,AR,1538262039,55,-46.43,-67.52,46.0,18.81
57,severo-kurilsk,8,RU,1538262473,88,50.68,156.12,52.57,6.62
58,longyearbyen,20,NO,1538257800,79,78.22,15.63,19.4,10.29
59,bluff,0,AU,1538262607,44,-23.58,149.07,78.85,9.98
60,pevek,32,RU,1538262746,78,69.7,170.27,50.14,13.11
61,flin flon,75,CA,1538262000,69,54.77,-101.88,33.8,17.22
62,deputatskiy,68,RU,1538262786,88,69.3,139.9,25.93,3.94
63,port-gentil,40,GA,1538258400,94,-0.72,8.78,78.8,8.05
64,iskateley,0,RU,1538262644,94,67.68,53.15,37.27,23.51
65,upernavik,92,GL,1538262473,100,72.79,-56.15,34.75,16.8
66,tandalti,0,SD,1538263240,59,13.01,31.87,76.69,5.06
67,khatanga,8,RU,1538262691,88,71.98,102.47,41.77,13.0
68,qaqortoq,92,GL,1538261400,51,60.72,-46.03,37.4,4.7
69,barisal,8,BD,1538263241,95,22.7,90.37,80.65,3.6
70,brigham city,1,US,1538261580,2,41.51,-112.02,84.92,11.41
71,teya,40,MX,1538257680,59,21.05,-89.07,89.6,9.17
72,yinchuan,0,CN,1538263243,70,38.48,106.21,37.9,2.93
73,denia,0,ES,1538263074,100,38.84,0.11,71.47,11.54
74,kushima,75,JP,1538260920,94,31.5,131.29,78.8,41.38
75,dinan,0,FR,1538262000,87,48.45,-2.05,50.0,2.24
76,east london,32,ZA,1538262646,100,-33.02,27.91,65.53,22.28
77,hambantota,88,LK,1538262449,100,6.12,81.12,77.14,8.41
78,melfi,0,IT,1538263244,71,41.0,15.66,55.63,7.07
79,sinnamary,0,GF,1538262556,96,5.38,-52.96,82.0,13.44
80,coxim,12,BR,1538263245,67,-18.5,-54.75,78.85,2.93
81,inongo,76,CD,1538263245,98,-1.93,18.29,71.74,2.48
82,sisimiut,88,GL,1538263245,89,66.94,-53.67,29.44,1.92
83,kapaa,90,US,1538260620,84,22.08,-159.32,80.06,18.34
84,prince rupert,1,CA,1538262000,22,54.32,-130.32,66.2,9.17
85,deniliquin,0,AU,1538263246,80,-35.53,144.96,56.71,5.39
86,sao miguel do araguaia,0,BR,1538263246,68,-13.28,-50.16,82.18,7.07
87,kalmunai,80,LK,1538263247,100,7.42,81.82,73.99,3.71
88,atar,20,MR,1538263247,66,20.52,-13.05,74.8,5.39
89,sembakung,92,ID,1538263247,100,3.82,117.25,74.08,3.04
90,presidencia roque saenz pena,100,AR,1538263248,83,-26.79,-60.44,74.62,6.73
91,benguela,0,AO,1538262966,100,-12.58,13.4,69.31,3.38
92,ubala,0,YE,1538263248,87,13.89,44.44,49.06,0.58
93,sept-iles,20,CA,1538262000,60,50.2,-66.38,42.8,6.93
94,hameenlinna,75,FI,1538261400,93,61.0,24.46,44.6,9.17
95,panjab,0,AF,1538263249,80,34.38,67.02,24.94,1.92
96,vao,92,EE,1538262776,100,59.1,26.19,43.39,15.79
97,hithadhoo,64,MV,1538262678,100,-0.6,73.08,82.0,12.77
98,harper,40,US,1538261700,74,30.3,-99.24,80.96,5.82
99,kouroussa,68,GN,1538263250,99,10.65,-9.88,69.58,5.5
100,alice springs,0,AU,1538262000,28,-23.7,133.88,68.0,17.22
101,khani,0,GE,1538260200,93,41.96,42.96,59.0,6.93
102,port alfred,0,ZA,1538262633,89,-33.59,26.89,63.37,20.6
103,tchibanga,24,GA,1538263251,98,-2.92,11.0,69.94,2.59
104,paamiut,92,GL,1538263251,100,61.99,-49.67,38.8,22.62
105,muscatine,90,US,1538262900,87,41.42,-91.04,55.04,8.05
106,pisco,0,PE,1538258400,30,-13.71,-76.2,71.6,17.22
107,anuradhapura,48,LK,1538263253,99,8.34,80.41,71.47,4.72
108,cape town,0,ZA,1538258400,87,-33.93,18.42,55.4,1.12
109,mongo,92,CF,1538263253,100,4.83,22.92,68.86,3.04
110,roald,92,NO,1538261400,76,62.58,6.12,50.0,27.51
111,sioux lookout,90,CA,1538258400,64,50.1,-91.92,39.2,8.05
112,berberati,56,CF,1538263254,97,4.26,15.79,68.77,5.73
113,belyy yar,48,RU,1538260200,100,53.6,91.39,39.2,4.47
114,rodrigues alves,75,BR,1538258400,59,-7.74,-72.65,89.6,1.7
115,san patricio,12,PY,1538262627,56,-26.98,-56.83,83.44,5.73
116,hasaki,75,JP,1538261040,100,35.73,140.83,69.8,10.29
117,monte patria,80,CL,1538263255,86,-30.69,-70.96,47.35,1.92
118,cockburn town,80,TC,1538262784,97,21.46,-71.14,83.71,17.81
119,victoria,75,BN,1538260200,94,5.28,115.24,78.8,2.24
120,san cristobal,75,EC,1538258400,42,-0.39,-78.55,68.0,20.8
121,puerto ayora,0,EC,1538258400,69,-0.74,-90.35,78.8,19.46
122,sur,0,OM,1538262709,92,22.57,59.53,83.44,8.52
123,yumen,80,CN,1538263257,38,40.29,97.04,45.19,4.5
124,nishihara,90,JP,1538261760,96,35.74,139.53,66.2,9.17
125,salta,40,AR,1538258400,23,-24.79,-65.41,89.6,8.05
126,ribeira grande,44,PT,1538262839,100,38.52,-28.7,70.84,19.6
127,san jeronimo,48,PE,1538263258,38,-13.65,-73.37,53.83,2.15
128,darien,90,US,1538262900,53,41.75,-87.98,57.38,5.82
129,nikolskoye,0,RU,1538260200,75,59.7,30.79,42.8,11.18
130,naryan-mar,0,RU,1538263259,94,67.67,53.09,37.27,21.83
131,bulaevo,64,KZ,1538263260,83,54.91,70.44,49.6,4.5
132,codrington,92,AU,1538262657,99,-28.95,153.24,58.78,5.39
133,zhigansk,0,RU,1538263260,100,66.77,123.37,31.87,6.73
134,avera,1,US,1538261700,86,33.19,-82.53,80.6,4.7
135,dikson,88,RU,1538262629,83,73.51,80.55,42.67,24.29
136,victor harbor,0,AU,1538262000,41,-35.55,138.62,59.0,13.87
137,esperance,20,TT,1538258400,79,10.24,-61.45,84.2,8.05
138,santa maria,0,BR,1538258400,58,-29.69,-53.81,86.0,4.7
139,ilulissat,48,GL,1538261400,47,69.22,-51.1,33.8,12.75
140,nyurba,88,RU,1538263262,95,63.29,118.35,42.76,5.17
141,kavieng,8,PG,1538262030,100,-2.57,150.8,85.42,5.61
142,havelock,1,US,1538261640,76,34.88,-76.9,80.06,5.82
143,shimoda,75,JP,1538257740,88,34.7,138.93,69.8,2.24
144,payakumbuh,80,ID,1538263263,96,-0.23,100.63,71.02,3.15
145,upata,44,VE,1538263263,87,8.02,-62.41,74.8,5.5
146,butaritari,12,KI,1538262622,100,3.07,172.79,85.24,6.51
147,flinders,0,AU,1538258400,54,-34.58,150.85,53.6,8.05
148,damghan,0,IR,1538263264,69,36.17,54.34,53.74,2.71
149,along,64,IN,1538263264,91,28.17,94.8,66.7,1.7
150,saint george,90,GR,1538261400,93,39.45,22.34,57.2,13.87
151,saskylakh,80,RU,1538262437,100,71.97,114.09,31.15,12.44
152,bodden town,20,KY,1538258400,70,19.28,-81.25,87.8,11.41
153,saint-philippe,90,CA,1538261700,70,45.36,-73.48,57.2,13.56
154,fairbanks,1,US,1538261880,7,64.84,-147.72,62.24,10.29
155,xiongzhou,0,CN,1538258400,93,32.34,118.83,60.8,2.24
156,rio tuba,88,PH,1538263266,90,8.51,117.43,84.07,10.2
157,yellowknife,75,CA,1538258400,64,62.45,-114.38,33.8,12.75
158,hilo,20,US,1538258760,67,19.71,-155.08,86.0,11.41
159,brooks,48,CA,1538263267,54,50.57,-111.89,42.49,10.98
160,port elizabeth,1,US,1538261700,84,39.31,-74.98,74.48,3.36
161,tuatapere,0,NZ,1538262705,95,-46.13,167.69,51.49,3.94
162,avarua,75,CK,1538258400,69,-21.21,-159.78,75.2,5.82
163,katsuura,75,JP,1538260620,100,33.93,134.5,69.8,6.93
164,carutapera,68,BR,1538263048,81,-1.2,-46.02,80.02,11.21
165,pyapon,88,MM,1538262989,100,16.29,95.68,78.22,1.14
166,ponta do sol,76,BR,1538262623,71,-20.63,-46.0,72.37,6.4
167,chengde,0,CN,1538263269,64,40.97,117.93,45.19,6.06
168,clyde river,40,CA,1538257740,92,70.47,-68.59,17.6,12.75
169,kahului,40,US,1538261100,70,20.89,-156.47,89.06,14.99
170,port hedland,75,AU,1538260200,68,-20.31,118.58,69.8,11.41
171,husavik,48,CA,1538263270,77,50.56,-96.99,43.21,8.52
172,fort nelson,40,CA,1538262000,44,58.81,-122.69,41.0,2.24
173,la ronge,90,CA,1538261220,79,55.1,-105.3,28.4,21.92
174,tamiahua,68,MX,1538262701,100,21.28,-97.45,81.19,7.07
175,coquimbo,0,CL,1538258400,87,-29.95,-71.34,57.2,12.75
176,sao filipe,88,CV,1538262095,100,14.9,-24.5,77.32,8.41
177,hobyo,76,SO,1538262531,91,5.35,48.53,76.51,11.1
178,carnarvon,0,ZA,1538262663,14,-30.97,22.13,44.65,8.63
179,adrar,0,DZ,1538258400,31,27.87,-0.29,78.8,10.29
180,santa rosalia,0,IT,1538261700,68,38.07,13.27,66.2,2.24
181,sitka,0,US,1538262508,54,37.17,-99.65,77.32,16.58
182,farrukhnagar,12,IN,1538260200,83,28.45,76.82,78.8,6.93
183,thompson,75,CA,1538258400,80,55.74,-97.86,35.6,5.82
184,otjiwarongo,36,NA,1538258400,29,-20.46,16.65,77.0,2.24
185,tuktoyaktuk,75,CA,1538258400,86,69.44,-133.03,28.4,5.82
186,san ramon de la nueva oran,0,AR,1538263274,44,-23.13,-64.33,84.88,5.61
187,guaymas,75,MX,1538260860,70,27.92,-110.9,91.4,11.41
188,mineros,75,BO,1538258400,69,-17.12,-63.23,78.8,16.11
189,bredasdorp,12,ZA,1538258400,77,-34.53,20.04,60.8,9.17
190,butembo,64,CD,1538263275,96,0.12,29.29,59.77,2.04
191,tsagan aman,36,RU,1538263275,85,47.57,46.72,54.1,7.74
192,lasa,20,CY,1538262000,53,34.92,32.53,77.0,10.29
193,phan thiet,44,VN,1538262783,100,10.93,108.1,80.47,3.38
194,ulagan,0,RU,1538263276,79,50.63,87.96,21.52,2.93
195,umm lajj,24,SA,1538263277,98,25.02,37.27,80.47,4.5
196,catuday,80,PH,1538263277,100,16.29,119.81,80.2,5.73
197,banja koviljaca,40,BA,1538258400,93,44.51,19.16,51.8,1.12
198,bethel,75,US,1538257980,59,60.79,-161.76,60.08,12.75
199,sebrovo,92,RU,1538263278,91,50.1,43.3,47.08,16.24
200,avenal,1,US,1538261580,32,36.0,-120.13,80.06,5.5
201,panguna,36,PG,1538263279,93,-6.32,155.48,78.85,3.38
202,torbay,90,CA,1538260200,93,47.66,-52.73,62.6,9.17
203,cayenne,0,GF,1538260200,83,4.94,-52.33,80.6,5.82
204,pierre,90,US,1538261580,83,44.37,-100.35,48.92,6.93
205,tura,48,IN,1538262962,98,25.52,90.21,72.28,3.15
206,ocara,68,BR,1538263280,86,-4.49,-38.6,77.5,11.21
207,harpalpur,0,IN,1538263280,50,25.29,79.33,71.29,5.39
208,roma,0,IT,1538261700,48,41.89,12.48,62.6,2.24
209,morganton,1,US,1538261580,75,35.75,-81.69,78.44,2.48
210,pangnirtung,92,CA,1538262761,99,66.15,-65.72,31.24,9.42
211,aksarayskiy,0,RU,1538260200,81,46.79,48.01,48.2,2.24
212,alofi,24,NU,1538258400,65,-19.06,-169.92,78.8,13.87
213,gambela,44,ET,1538263282,86,8.25,34.59,62.02,3.15
214,samtredia,0,GE,1538260200,93,42.16,42.35,59.0,6.93
215,krugersdorp,0,ZA,1538262000,67,-26.1,27.78,57.2,10.29
216,pontarlier,0,CH,1538261400,87,46.9,6.35,46.4,1.36
217,aykhal,68,RU,1538263283,90,65.95,111.51,37.72,2.71
218,beni,20,CD,1538263284,94,0.49,29.47,62.2,2.48
219,lata,0,IN,1538262116,77,30.78,78.62,45.91,2.15
220,tiksi,80,RU,1538262681,95,71.64,128.87,31.42,7.52
221,oktyabrskoye,68,RU,1538263284,48,56.73,85.44,50.95,10.65
222,fontenay-le-comte,0,FR,1538262000,66,46.47,-0.81,53.6,4.7
223,berlevag,92,NO,1538262753,100,70.86,29.09,35.2,14.45
224,whitianga,0,NZ,1538263285,100,-36.83,175.7,58.33,10.42
225,taoudenni,36,ML,1538263286,27,22.68,-3.98,77.59,7.4
226,provideniya,92,RU,1538262615,88,64.42,-173.23,49.24,28.77
227,brae,80,GB,1538261400,61,60.4,-1.35,50.0,24.16
228,batemans bay,0,AU,1538263287,77,-35.71,150.18,56.62,3.38
229,biak,88,ID,1538262992,100,-0.91,122.88,75.16,5.06
230,luderitz,0,NA,1538262571,76,-26.65,15.16,60.49,4.5
231,athabasca,20,CA,1538262883,48,54.72,-113.29,34.75,11.21
232,sydney,20,AU,1538262000,54,-33.85,151.22,60.8,12.75
233,dawei,92,MM,1538262902,93,14.07,98.19,76.69,2.48
234,mackay,40,CA,1538262000,47,53.65,-115.58,37.4,8.05
235,tete,68,MZ,1538263289,49,-16.16,33.59,78.85,17.02
236,rio gallegos,75,AR,1538258400,45,-51.62,-69.22,42.8,8.05
237,nome,90,US,1538261700,88,30.04,-94.42,77.0,4.7
238,ahipara,48,NZ,1538262968,69,-35.17,173.16,61.57,12.55
239,tasiilaq,0,GL,1538261400,50,65.61,-37.64,33.8,2.24
240,bud,92,NO,1538261400,87,62.91,6.91,50.0,24.16
241,ponta delgada,20,PT,1538262000,82,37.73,-25.67,66.2,11.41
242,kodiak,90,US,1538261580,80,39.95,-94.76,62.96,4.7
243,balclutha,44,NZ,1538263291,96,-46.24,169.74,51.04,4.16
244,ishigaki,75,JP,1538258400,69,24.34,124.16,77.0,12.75
